customer_ID,predicted_pd,actual_default,risk_tier_quantile,risk_tier_business_rule,risk_tier_primary,primary_method
000084e5023181993c2e1b665ac88dbb1ce9ef621ec5370150fc2f8bdca6202c,0.006822,0,Near-Prime,Prime,Prime,business_rule
00013181a0c5fc8f1ea38cd2b90fe8ad2fa8cad9d9f13e4063bdf6b0f7d51eb6,0.986221,1,High Risk,High Risk,High Risk,business_rule
0002e335892f7998f0feb3a59f32d652f0da7c85e535b99ea6f87fd317ed47f4,0.990287,1,High Risk,High Risk,High Risk,business_rule
000391f219520dbca6c3c1c46e0fab569da163f79ee266b2cc95fb31029ce617,0.980364,1,High Risk,High Risk,High Risk,business_rule
0003b7891c49786441d138c01f55f1712df645989dcd2a83106ab4a229fee72d,0.014084,0,Near-Prime,Prime,Prime,business_rule
000445609ff2a39d2dd02484899affa5696210a95f6869f26390bd26eeb3b651,0.001471,0,Prime,Prime,Prime,business_rule
0004860c260168fcaad0734a1dfedb7ceb1a83aaac54e24c27244b77308fd8b7,0.99763,1,High Risk,High Risk,High Risk,business_rule
0004e00358fc4dd633e491c8090a0794b6165ed9a7e60c02bdab9ac745f661c2,0.008876,0,Near-Prime,Prime,Prime,business_rule
0004ec03ca1ab2adb9aa260c61ba5dce8185e19d3ab704029f989240c733b6d0,0.002491,0,Prime,Prime,Prime,business_rule
00057576e6eab4633ec2893ca7e0ab76f2094ad2d43b1e3749db49d51e064ee9,0.988108,1,High Risk,High Risk,High Risk,business_rule
00062d39ff054c4e18d5dba3b988c94277246d2d4aee42e588c62bc8b3ac1f5b,0.00735,0,Near-Prime,Prime,Prime,business_rule
0007138953c25a3a7d8f48cf60dd6e9ca4a77d9e945a443f986062a95f795c4d,0.004526,0,Near-Prime,Prime,Prime,business_rule
000790f99df4c2a0eccd9ba5db78fd81e6a4b88b3d7f203ea9810d2e61bc1f5b,0.188976,0,Subprime,Subprime,Subprime,business_rule
0007b7b197a68e10925e2b4abf89130323ea2a87deb8ada24159a249b6010516,0.025798,0,Near-Prime,Prime,Prime,business_rule
00098cc74b9a5113321817176656d2d75928c363cc45ab81502f7239cae2187b,0.357633,0,Subprime,High Risk,High Risk,business_rule
0009bd8871169b8d76a445e1f52079a6edc0b6f0bf021d5ec50ef6aa6487cc14,0.581117,0,High Risk,High Risk,High Risk,business_rule
000a1745b0fba14f100603038675e879651f9af9c729c523a81bbf93dacf0e57,0.001142,0,Prime,Prime,Prime,business_rule
000adf2938f771f75a581b65107024eddeae70684778c0da9b94b261b836a940,0.00075,0,Prime,Prime,Prime,business_rule
