feature,correlation_with_target,abs_weight_raw,direction,mean,std,normalized_weight
D_48_last,0.61123,0.61123,1.0,0.4086736888742806,0.34343799608926256,0.022807622089347664
D_55_last,0.53978,0.53978,1.0,0.3314087518272836,0.30046240407541375,0.020141520889051873
D_61_last,0.53058,0.53058,1.0,0.4533053587681014,0.3622620603715277,0.0197980042496683
D_44_last,0.52947,0.52947,1.0,0.13862706038259123,0.24676861066501066,0.0197568666149591
D_75_last,0.49934,0.49934,1.0,0.18478363916236087,0.23768507105579303,0.018632530546447854
D_58_last,0.49823,0.49823,1.0,0.23135568853985033,0.271406539010053,0.01859113410315925
D_74_last,0.45998,0.45998,1.0,0.16550607834251543,0.23197823728645464,0.01716377325799202
D_55_trend_delta,0.40036,0.40036,1.0,0.06616801829364945,0.19465085088131034,0.014938958138722837
D_41_last,0.3774,0.3774,1.0,0.09956983489848502,0.3044503563668065,0.014082511994010827
D_55_trend_slope,0.37584,0.37584,1.0,0.00799680040354679,0.02248509243225245,0.014024177106833307
D_62_last,-0.36787,0.36787,-1.0,0.18836527020169422,0.23112811580895873,0.01372673547131537
D_112_last,-0.34949,0.34949,-1.0,0.8051538062634986,0.3991600150254679,0.013041036864444331
D_78_last,0.3487,0.3487,1.0,0.09543983954852989,0.34771605856158133,0.01301123765037607
D_39_last,0.33984,0.33984,1.0,0.20156207436290405,0.40188176218556504,0.012680823303748088
D_77_last,-0.33644,0.33644,-1.0,0.26059832514450837,0.23475715598789523,0.012553887853087978
D_44_trend_delta,0.33002,0.33002,1.0,0.034324941638516036,0.16862568339144338,0.01231435990639576
D_75_trend_delta,0.32854,0.32854,1.0,0.028896106031791137,0.1285919789884471,0.012259006507637244
D_70_last,0.32738,0.32738,1.0,0.12304586204173265,0.2464525653872235,0.012216032633840997
D_41_trend_delta,0.32094,0.32094,1.0,0.054680694696870494,0.2843954889528114,0.011975694082230735
D_53_last,0.30033,0.30033,1.0,0.1148790552459883,0.2720223989222921,0.011206552681346169
D_42_last,0.29618,0.29618,1.0,0.17850741349730911,0.25659136580557607,0.011051574600395552
D_43_last,0.28982,0.28982,1.0,0.16385584575002068,0.22748665518080016,0.010814318131178953
D_44_trend_slope,0.28897,0.28897,1.0,0.004034790643201243,0.021022039484184647,0.010782521022956145
D_47_last,-0.28805,0.28805,-1.0,0.3988679143303931,0.23200643862571582,0.010748459614948493
D_39_trend_delta,0.28783,0.28783,1.0,0.08054782282762576,0.420980158962301,0.010740224903150086
D_58_trend_delta,0.28772,0.28772,1.0,0.03689919671677729,0.17764900172826492,0.01073601777817318
D_74_trend_delta,0.28768,0.28768,1.0,0.022229118712444845,0.12399161731167599,0.010734641771238597
D_54_last,-0.27684,0.27684,-1.0,0.9633770828497441,0.19976589745723466,0.010329962328788833
D_48_trend_delta,0.27025,0.27025,1.0,0.03268210755467946,0.21842927072480525,0.010084048793692344
D_84_last,0.26862,0.26862,1.0,0.08022739692141075,0.4229810593683151,0.010023424046696833
D_51_last,-0.26809,0.26809,-1.0,0.14464286989834763,0.24182506937485743,0.010003652378438721
D_41_trend_slope,0.26542,0.26542,1.0,0.004612205878129522,0.028095688470365993,0.009903818981615126
D_45_last,-0.2595,0.2595,-1.0,0.2415927782582412,0.24119976655775274,0.009683074004962317
D_112_trend_delta,-0.25898,0.25898,-1.0,-0.06341981331205071,0.3896383785564532,0.009663512052828163
D_81_last,0.2557,0.2557,1.0,0.08503839234110672,0.43897033109922645,0.009541272775904481
D_131_last,0.25366,0.25366,1.0,0.11677851482260952,0.31236721011041274,0.009465223324162126
D_78_trend_delta,0.25147,0.25147,1.0,0.05009050566708599,0.3311300545548391,0.009383530062885845
D_53_trend_delta,0.24222,0.24222,1.0,0.03889029455585491,0.21724319297514533,0.009038066341791573
D_120_last,0.24038,0.24038,1.0,0.19078179213487798,0.3929174212537314,0.008969417114555293
D_79_last,0.23717,0.23717,1.0,0.08002928252947654,0.2486627229490622,0.008849865952474898
D_72_last,0.23678,0.23678,1.0,0.051146630289128456,0.25147533373087105,0.008835097708831645
D_130_last,0.22948,0.22948,1.0,0.21691192500750103,0.4086840505177295,0.008562667546237468
D_52_last,-0.22879,0.22879,-1.0,0.17988887991062874,0.17599978248668052,0.008537148699234724
D_54_trend_delta,-0.22848,0.22848,-1.0,-0.026486192087404974,0.2030200671954573,0.008525648450219827
D_74_trend_slope,0.22313,0.22313,1.0,0.0018743443922114437,0.014257246129914834,0.008325922874684701
D_78_trend_slope,0.22141,0.22141,1.0,0.0056329435597290995,0.039879557609934696,0.008261526039452535
D_112_trend_slope,-0.21779,0.21779,-1.0,-0.006866582673319961,0.04773533290494654,0.00812654196402093
D_75_trend_slope,0.21715,0.21715,1.0,0.0032372461791642416,0.01951113816604439,0.008102841187741783
D_59_last,0.21548,0.21548,1.0,0.41986194475410943,0.20563720096968052,0.008040434455706366
D_84_trend_delta,0.20718,0.20718,1.0,0.05081506827519528,0.42954970180231006,0.007730760997566842
D_39_trend_slope,0.20681,0.20681,1.0,0.007984996104980139,0.05073630173543038,0.007716876643092615
D_48_trend_slope,0.20505,0.20505,1.0,0.004164727925655346,0.03403109720161218,0.0076510735728414405
D_114_last,-0.19338,0.19338,-1.0,0.6193059017398,0.4855575164798226,0.007215947071513693
D_58_trend_slope,0.19212,0.19212,1.0,0.0044512547910607984,0.02779635399771531,0.007168726923207727
D_128_last,-0.19117,0.19117,-1.0,0.5762649692445481,0.4943603654657877,0.007133432425234375
D_127_last,-0.19113,0.19113,-1.0,0.10774868121959881,0.30364271635338264,0.007131927584365905
D_68_last,-0.18935,0.18935,-1.0,5.016361969326517,1.3145033682927305,0.0070653122815279475
D_115_last,-0.18861,0.18861,-1.0,0.27527435289845453,0.25792533096850645,0.007037732433336988
D_53_trend_slope,0.18825,0.18825,1.0,0.008122288622794661,0.051380089134152145,0.007024343581716116
D_81_trend_delta,0.18574,0.18574,1.0,0.04881797129276232,0.4565105659177659,0.006930805314116096
D_118_last,-0.17948,0.17948,-1.0,0.28294314316828084,0.2567208344008425,0.0066970102633809635
D_119_last,-0.17809,0.17809,-1.0,0.2794946432050871,0.25734954399118054,0.006645152734182351
D_121_last,-0.17571,0.17571,-1.0,0.5337613358067925,0.23793522689181193,0.006556290271452519
D_84_trend_slope,0.17548,0.17548,1.0,0.004483515632918736,0.04329805985343394,0.0065479805720269025
D_89_last,0.17018,0.17018,1.0,0.007983746842906451,0.027884099129866148,0.006349994203094505
D_122_last,-0.1688,0.1688,-1.0,0.39434807251559784,0.23459873120222885,0.006298446443096817
D_113_last,0.16821,0.16821,1.0,0.15696752898948288,0.22494616509497653,0.006276672788132222
D_46_last,0.16123,0.16123,1.0,0.478063640444963,0.17941519866575997,0.006016103434486085
D_81_trend_slope,0.16072,0.16072,1.0,0.004412288865203547,0.04553996714209204,0.005997079576419337
D_54_trend_slope,-0.1607,0.1607,-1.0,-0.0018787022672483518,0.020789730746599122,0.005996397664656223
D_72_trend_delta,0.15728,0.15728,1.0,0.02102794255656702,0.2363751201327146,0.005868749629875475
D_92_last,-0.15653,0.15653,-1.0,0.08773878562897917,0.288994093455753,0.005840625400293487
D_56_last,-0.15191,0.15191,-1.0,0.20867427322780144,0.21680066338532583,0.005668404867754458
D_133_last,0.15144,0.15144,1.0,0.051404626143299534,0.182475281219461,0.005650859472493919
D_59_trend_slope,0.1413,0.1413,1.0,0.009692031598427193,0.01240859754981943,0.005272386136827054
D_42_trend_delta,-0.1395,0.1395,-1.0,-0.021159193546381242,0.08206345989198607,0.005205365553717736
D_129_last,-0.13673,0.13673,-1.0,0.43485790385746675,0.4950705863251521,0.005101892207314779
D_72_trend_slope,0.13297,0.13297,1.0,0.0017955094439803007,0.023509664090509433,0.004961591607454477
D_91_last,-0.13142,0.13142,-1.0,0.06138112521777284,0.1845911615586746,0.004903792254537213
D_89_trend_delta,0.12979,0.12979,1.0,0.0021538098208233936,0.029866374772516337,0.004842817179697976
D_139_last,0.12858,0.12858,1.0,0.18111515623731445,0.38091805968395515,0.004797667806989098
D_143_last,0.12857,0.12857,1.0,0.18100220721194302,0.38083817796472624,0.004797450904916827
D_103_last,0.12738,0.12738,1.0,0.4725501284560332,0.4989606370070323,0.004753108734604545
D_104_last,0.12689,0.12689,1.0,0.4559185116099331,0.4813109807934945,0.004734846293366398
D_140_last,0.1267,0.1267,1.0,0.02882412925230411,0.15255736221788707,0.004727586121217475
D_141_last,0.12557,0.12557,1.0,0.1665930179203878,0.35018298089645694,0.004685427115644922
D_107_last,0.12533,0.12533,1.0,0.20973539651250944,0.25875016754207314,0.004676673018764404
D_76_last,-0.12498,0.12498,-1.0,0.1430178793494735,0.2961174841722726,0.0046635271933664025
D_117_last,-0.12333,0.12333,-1.0,2.3321933405652486,2.301450561625242,0.004602036833563997
D_145_last,0.11632,0.11632,1.0,0.06377211171632735,0.1966701549893284,0.004340544978229005
D_59_trend_delta,0.1154,0.1154,1.0,0.09082487623730011,0.12831104792886175,0.004306098224985513
D_70_trend_delta,0.11455,0.11455,1.0,0.021229634752598325,0.24550850736026153,0.0042741868193034984
D_65_last,0.11041,0.11041,1.0,0.07553333949942212,0.8255232413003808,0.004119962455829029
D_130_trend_delta,0.10536,0.10536,1.0,0.021669036833552934,0.18729863230566657,0.003931540001107103
D_70_trend_slope,0.09991,0.09991,1.0,0.002140435024773592,0.029502038704336608,0.0037281819517842574
D_65_trend_delta,0.09848,0.09848,1.0,0.04464536130108282,0.7704840999721395,0.003674509973664885
D_130_trend_slope,0.09691,0.09691,1.0,0.002509582439946424,0.024111038346541772,0.0036160292534992535
D_89_trend_slope,0.09455,0.09455,1.0,0.0002010530046519542,0.00358525036548715,0.003527962509097788
D_42_trend_slope,-0.09179,0.09179,-1.0,-0.0031948126419842115,0.017188452529525233,0.0034249020972519605
D_132_last,-0.09047,0.09047,-1.0,0.20967320756197488,0.2355276261971287,0.003375754344099133
D_83_last,0.08837,0.08837,1.0,0.04093062546428872,0.3039612036857332,0.0032973353396824412
D_79_trend_delta,0.08814,0.08814,1.0,0.013238744104099025,0.16995208485529092,0.0032889238664486945
D_79_trend_slope,0.08772,0.08772,1.0,0.0017865723974154865,0.022924645229253096,0.0032733511688852303
D_71_last,-0.08489,0.08489,-1.0,0.06997639088062228,0.33385184886041114,0.0031675630455837594
D_61_trend_slope,0.08115,0.08115,1.0,0.0024926671428615807,0.06918637529944023,0.0030280619580593674
